county_vera,year,n_docs,mean_ideology,pct_progressive,pct_traditional,pct_ext_lenient,pct_int_lenient,county_name,jail_pop,jail_pop_rate,jail_pretrial,jail_pretrial_rate,jail_adm,jail_adm_rate,jail_sentenced,black_jail_rate,white_jail_rate,total_pop,jail_capacity,bw_disparity,jail_utilisation,pretrial_share
Orange County,2016.0,9,0.3333333333333333,11.11111111111111,0.0,11.11111111111111,22.22222222222222,Orange County,6486.5975,300.9625,3474.415,161.2025,82540.99,3829.7,3012.1825,1225.955,205.64249999999998,3174293.0,5797.245,5.961583816574882,111.89103617321676,53.56298120856119
Orange County,2017.0,12,0.09090909090909091,25.0,16.666666666666664,41.66666666666667,25.0,Orange County,6386.375,296.025,3238.1175,150.095,85075.375,3943.4825,3148.2575,1143.0525,208.43,3185653.0,5796.5525,5.4841073741783815,110.17540167194208,50.703528997279356
Orange County,2018.0,8,-0.5,12.5,50.0,0.0,25.0,Orange County,6636.33,308.29,3562.3825,165.4925,91568.7775,4253.8675,3073.9475,1119.9025000000001,219.305,3188628.0,5797.295,5.106598116778004,114.47287053703494,53.680008378124654
Orange County,2019.0,17,0.14285714285714285,11.76470588235294,0.0,5.88235294117647,23.52941176470588,Orange County,5890.0,274.84999999999997,3524.1075,164.45,84547.1875,3945.31,2365.8925,1039.6525000000001,187.70499999999998,3185525.0,5879.7,5.538757624996672,100.17517900573158,59.83204584040747
Orange County,2020.0,14,0.15384615384615385,42.857142857142854,28.57142857142857,28.57142857142857,35.714285714285715,Orange County,4315.715,201.995,2680.4075000000003,125.455,72511.875,3393.89,1635.3075,731.9525,124.325,3185516.0,5907.0,5.887412024934647,73.06102928728627,62.10807479177842
Orange County,2021.0,11,0.875,45.45454545454545,0.0,36.36363636363637,45.45454545454545,Orange County,3747.25,177.2525,2365.275,111.88,64215.3125,3037.4875,1381.975,557.825,108.705,3161005.0,5907.0,5.131548686812935,63.437447096664975,63.12028821135499
Orange County,2022.0,2,1.0,50.0,0.0,50.0,100.0,Orange County,3809.75,181.195,2358.825,112.185,67059.3125,3189.34,1450.925,532.9925000000001,112.18,3151184.0,5907.0,4.751225708682475,64.49551379718977,61.915480018373906
Placer County,2019.0,3,-0.3333333333333333,33.33333333333333,66.66666666666666,33.33333333333333,33.33333333333333,Placer County,699.0,279.2975,,,10296.0625,4113.9775,699.0,,,401248.0,806.0,,86.72456575682382,
Placer County,2020.0,8,-0.125,37.5,50.0,50.0,50.0,Placer County,613.0,243.2275,,,10302.0,4087.64,613.0,,,405889.0,806.0,,76.05459057071961,
Placer County,2021.0,7,0.14285714285714285,28.57142857142857,28.57142857142857,57.14285714285714,42.857142857142854,Placer County,611.0,238.10250000000002,,,10302.0,4014.62,611.0,,,412789.0,806.0,,75.80645161290323,
Riverside County,2020.0,3,-1.0,0.0,33.33333333333333,33.33333333333333,33.33333333333333,Riverside County,3560.9375,226.18,2977.6625,189.1325,47544.8125,3019.9125,583.275,594.855,170.0,2422847.0,3741.875,3.4991470588235294,95.16452313345583,83.62018429135586
Riverside County,2022.0,7,1.0,85.71428571428571,0.0,14.285714285714285,14.285714285714285,Riverside County,3587.75,222.51999999999998,3101.0825,192.335,51059.75,3166.8175,486.6675,622.775,172.8475,2473902.0,4975.0,3.603031574075413,72.11557788944724,86.43530067591108
Sacramento County,2018.0,4,1.75,100.0,0.0,100.0,100.0,Sacramento County,3684.5,354.95500000000004,2032.48,195.8025,51705.25,4981.115,1652.02,850.575,210.0,1560992.0,4871.125,4.050357142857143,75.63961097282456,55.16298005156738
Sacramento County,2019.0,5,0.8,80.0,20.0,80.0,60.0,Sacramento County,3672.0,351.1225,2661.7875,254.51999999999998,50288.125,4808.615,1010.2125000000001,888.6225,187.5925,1575957.0,4109.875,4.7369830883430835,89.34578302259801,72.48876633986929
Sacramento County,2020.0,2,0.5,50.0,0.0,0.0,0.0,Sacramento County,3052.8125,290.5425,2406.5925,229.04000000000002,39652.5,3773.8275,646.22,984.475,199.5675,1586465.0,4008.25,4.933042704849237,76.16322584669119,78.83197870815847
Sacramento County,2021.0,3,0.6666666666666666,66.66666666666666,0.0,66.66666666666666,0.0,Sacramento County,3225.25,306.9625,2283.4225,217.3225,30751.0325,2926.7,941.8275,1038.345,212.39499999999998,1588106.0,4005.0,4.888745026954496,80.53058676654182,70.79831020851097
Sacramento County,2022.0,2,1.5,100.0,0.0,100.0,100.0,Sacramento County,3301.5,315.925,2250.8125,215.38,31891.6875,3051.7650000000003,1050.6875,1073.9325,223.74,1584169.0,3938.625,4.799912845266827,83.82366942778255,68.17545055277904
Sacramento County,2023.0,4,1.0,50.0,0.0,50.0,50.0,Sacramento County,3097.25,296.3825,1998.21,191.20999999999998,33498.405,3205.5125000000003,2098.145,991.985,204.57,1584169.0,3673.125,4.8491225497384765,84.32193295899269,64.51561869400274
San Benito County,2022.0,4,1.25,75.0,0.0,50.0,75.0,San Benito County,104.0,232.7825,,,1851.0,4143.07,104.0,,,67579.0,142.0,,73.23943661971832,
San Bernardino County,2020.0,3,0.3333333333333333,66.66666666666666,33.33333333333333,66.66666666666666,66.66666666666666,San Bernardino County,5263.0,362.0325,4291.4525,295.2,65254.1875,4488.7175,971.5475,924.125,312.5875,2183239.0,7624.0,2.9563722157795818,69.03200419727177,81.54004370131105
San Bernardino County,2021.0,7,0.6666666666666666,57.14285714285714,28.57142857142857,42.857142857142854,42.857142857142854,San Bernardino County,5184.25,354.43,4088.4775,279.515,55635.5,3803.6125,1095.7725,1048.855,355.85,2192882.0,7615.125,2.94746381902487,68.07833095320169,78.86343251193519
San Diego County,2015.0,2,0.0,0.0,0.0,0.0,0.0,San Diego County,5561.4375,248.2425,2661.0725,118.78,86187.625,3847.11,2900.365,835.1800000000001,205.855,3262199.0,5848.75,4.057127589808361,95.0876255610173,47.8486452468449
San Diego County,2017.0,4,0.25,50.0,25.0,25.0,50.0,San Diego County,6287.0,279.5725,3060.9975,136.1175,83122.6875,3696.3625,3226.0025,923.355,233.075,3292892.0,6154.5,3.9616217955593696,102.15289625477293,48.687728646413234
San Diego County,2018.0,2,0.0,0.0,0.0,0.0,0.0,San Diego County,6153.0,273.4975,3367.29,149.6725,82913.5625,3685.44,2785.71,910.1375,218.3325,3302501.0,6177.6875,4.16858461291837,99.60037635442065,54.72598732325695
San Diego County,2019.0,2,1.0,50.0,0.0,50.0,0.0,San Diego County,6284.9375,280.845,3869.1775000000002,172.8975,78915.125,3526.34,2415.76,939.8175,208.5125,3297009.0,6184.0,4.5072477669204485,101.63223641655885,61.56270448194593
San Diego County,2020.0,3,1.0,66.66666666666666,0.0,66.66666666666666,33.33333333333333,San Diego County,4831.5625,216.6425,2974.3375,133.3675,62728.875,2812.705,1857.225,699.4275,150.4275,3296045.0,6176.625,4.649598643864985,78.22334203549673,61.560571761205615
San Diego County,2021.0,3,2.0,100.0,0.0,100.0,0.0,San Diego County,4472.625,202.5475,2939.085,133.1,48243.8125,2184.775,1533.54,726.2775,144.4525,3274954.0,6173.5,5.027794603762483,72.448772981291,65.71275257818395
San Diego County,2022.0,2,0.0,0.0,0.0,0.0,0.0,San Diego County,4491.8125,203.60750000000002,2847.3275,129.0675,51363.1875,2328.25,1644.4850000000001,765.1800000000001,143.975,3276208.0,6189.375,5.314672686230249,72.57295768958902,63.38927771361783
San Francisco County,2016.0,3,1.0,66.66666666666666,0.0,66.66666666666666,66.66666666666666,San Francisco County,1294.5,201.3375,896.655,139.45749999999998,18162.0,2824.7675,397.845,1912.6475,107.83,873537.0,1562.0,17.737619400908837,82.87451984635084,69.26651216685978
San Francisco County,2019.0,2,0.0,0.0,0.0,0.0,0.0,San Francisco County,1256.0,195.72,1065.7325,166.0675,17331.3125,2700.6825,190.26749999999998,1643.1275,98.985,881972.0,1562.375,16.59976259029146,80.39043123449876,84.85131369426753
San Francisco County,2020.0,11,0.8181818181818182,63.63636363636363,27.27272727272727,63.63636363636363,36.36363636363637,San Francisco County,851.2525,135.39,827.8175,131.66,14383.625,2287.6825,23.435000000000002,1095.57,69.395,870393.0,1502.375,15.787448663448375,56.66045428072219,97.24699780617384
San Francisco County,2021.0,8,1.2857142857142858,62.5,0.0,50.0,50.0,San Francisco County,805.0725,140.94,776.55,135.9475,10738.9375,1880.0249999999999,38.03,1131.61,74.6675,811253.0,1256.5,15.155321927210633,64.0726223637087,96.45715137456564
San Francisco County,2022.0,5,0.25,20.0,0.0,0.0,20.0,San Francisco County,806.5,142.025,449.355,79.13,10060.9375,1771.7224999999999,357.145,1130.9125,72.1725,808437.0,1236.0,15.669576362187813,65.25080906148867,55.71667699938004
San Luis Obispo County,2015.0,16,0.5,50.0,6.25,43.75,6.25,San Luis Obispo County,534.5,284.345,268.03,142.5875,11080.3125,5894.5675,266.47,474.21500000000003,257.0075,280153.0,787.5625,1.8451407060105252,67.86762955321007,50.14593077642656
San Luis Obispo County,2016.0,18,0.1111111111111111,22.22222222222222,11.11111111111111,11.11111111111111,16.666666666666664,San Luis Obispo County,542.0,288.7,299.575,159.57,11337.3125,6038.8975,242.425,558.2975,263.61,281865.0,818.0,2.117891961609954,66.25916870415648,55.27214022140221
San Luis Obispo County,2017.0,11,0.2727272727272727,36.36363636363637,9.090909090909092,27.27272727272727,27.27272727272727,San Luis Obispo County,571.5,305.9825,303.94,162.73000000000002,11419.125,6113.837500000001,267.56,661.29,287.93,282376.0,902.0,2.2967040600145867,63.35920177383591,53.182852143482066
