county,year,n_documents,n_progressive,n_traditional,pct_progressive,pct_traditional,mean_ideology_score,pct_extensive_lenient,pct_extensive_punitive,pct_intensive_lenient,pct_intensive_punitive,pct_supports_diversion,pct_bail_reform,pct_racial_justice,da_name,election_year,margin_1st_2nd,close_5pp,close_10pp,close_15pp,winner_pct,n_candidates,tenure_start,years_into_tenure
Marin,2021.0,9.0,5.0,2.0,55.55555555555556,22.22222222222222,0.75,55.55555555555556,0.0,44.44444444444444,11.11111111111111,22.22222222222222,22.22222222222222,33.33333333333333,Lori Frugoli,2018.0,0.3400000000000034,True,True,True,50.07,2.0,2019.0,3.0
Marin,2022.0,3.0,3.0,0.0,100.0,0.0,2.0,100.0,0.0,66.66666666666666,0.0,33.33333333333333,0.0,66.66666666666666,Lori Frugoli,2018.0,0.3400000000000034,True,True,True,50.07,2.0,2019.0,4.0
Orange,2019.0,17.0,2.0,0.0,11.76470588235294,0.0,0.14285714285714285,5.88235294117647,0.0,23.52941176470588,0.0,0.0,0.0,5.88235294117647,Todd Spitzer,2018.0,6.480000000000004,False,True,True,53.24,2.0,2019.0,1.0
Orange,2020.0,14.0,6.0,4.0,42.857142857142854,28.57142857142857,0.15384615384615385,28.57142857142857,14.285714285714285,35.714285714285715,28.57142857142857,0.0,7.142857142857142,35.714285714285715,Todd Spitzer,2018.0,6.480000000000004,False,True,True,53.24,2.0,2019.0,2.0
Orange,2021.0,11.0,5.0,0.0,45.45454545454545,0.0,0.875,36.36363636363637,0.0,45.45454545454545,0.0,0.0,0.0,36.36363636363637,Todd Spitzer,2018.0,6.480000000000004,False,True,True,53.24,2.0,2019.0,3.0
Orange,2022.0,2.0,1.0,0.0,50.0,0.0,1.0,50.0,0.0,100.0,0.0,0.0,0.0,50.0,Todd Spitzer,2018.0,6.480000000000004,False,True,True,53.24,2.0,2019.0,4.0
San Diego,2025.0,5.0,3.0,1.0,60.0,20.0,0.6,60.0,0.0,40.0,0.0,80.0,20.0,20.0,Summer Stephan,2022.0,100.0,False,False,False,100.0,1.0,2023.0,3.0
San Francisco,2016.0,3.0,2.0,0.0,66.66666666666666,0.0,1.0,66.66666666666666,0.0,66.66666666666666,0.0,33.33333333333333,0.0,0.0,George Gascon,2015.0,98.24,False,False,False,98.24,1.0,2016.0,1.0
San Francisco,2017.0,1.0,0.0,1.0,0.0,100.0,-1.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,George Gascon,2015.0,98.24,False,False,False,98.24,1.0,2016.0,2.0
San Francisco,2018.0,1.0,0.0,1.0,0.0,100.0,-2.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,George Gascon,2015.0,98.24,False,False,False,98.24,1.0,2016.0,3.0
San Francisco,2019.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,George Gascon,2015.0,98.24,False,False,False,98.24,1.0,2016.0,4.0
San Francisco,2020.0,11.0,7.0,3.0,63.63636363636363,27.27272727272727,0.8181818181818182,63.63636363636363,18.181818181818183,36.36363636363637,27.27272727272727,45.45454545454545,9.090909090909092,45.45454545454545,Chesa Boudin,2019.0,4.630000000000003,True,True,True,35.71,4.0,2020.0,1.0
San Francisco,2021.0,8.0,5.0,0.0,62.5,0.0,1.2857142857142858,50.0,0.0,50.0,0.0,12.5,12.5,50.0,Chesa Boudin,2019.0,4.630000000000003,True,True,True,35.71,4.0,2020.0,2.0
San Francisco,2022.0,5.0,1.0,0.0,20.0,0.0,0.25,0.0,0.0,20.0,0.0,0.0,0.0,0.0,Chesa Boudin,2019.0,4.630000000000003,True,True,True,35.71,4.0,2020.0,3.0
San Francisco,2025.0,4.0,1.0,2.0,25.0,50.0,-0.75,25.0,0.0,0.0,50.0,25.0,0.0,0.0,Brooke Jennings,2024.0,31.800000000000004,False,False,False,65.9,2.0,2025.0,1.0
Sutter,2018.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Amanda Hopper,2014.0,23.949999999999996,False,False,False,61.8,2.0,2015.0,4.0
