filename,county,source,relevant_date,date_of_production,upload_date,document_url,download_url,download_success
2018.01.08_Alameda County_VC 10851 - Juvenile Interrogation.mp4,Alameda County,Office of the Alameda District Attorney,01/08/2018,,04/03/2025,https://www.aclunc.org/20180108-alameda-county-vc-10851-juvenile-interrogationmp4,https://drive.google.com/open?id=1CHf1Fy8mybPN9dgA0tq9HI8oHNfQbyjR,True
2018.01.08_Alameda County_VC 10851_ Interrogating Juveniles.pdf,Alameda County,Office of the Alameda District Attorney,01/08/2018,,04/03/2025,https://www.aclunc.org/20180108-alameda-county-vc-10851-interrogating-juvenilespdf,https://drive.google.com/open?id=1t0KyVwxl3ZkCmJeEOcWDtwfOvACp0Th8,True
2018.01.15_Alameda County_New Laws Part 1.mp4,Alameda County,Office of the Alameda District Attorney,01/15/2018,,04/03/2025,https://www.aclunc.org/20180115-alameda-county-new-laws-part-1mp4,https://drive.google.com/open?id=1PQsjlwPnd3pWozz5dPF6NT-swsW9UcKP,True
"2018.01.16_Alameda County_New Laws 2018, Pt.1.pdf",Alameda County,Office of the Alameda District Attorney,01/16/2018,,04/03/2025,https://www.aclunc.org/20180116-alameda-county-new-laws-2018-pt1pdf,https://drive.google.com/open?id=1tRlp3LWeLE50obCnN8X2ga0NxFXHtdGO,True
"2018.01.22_Alameda County_New Laws 2018, Pt. 2.pdf",Alameda County,Office of the Alameda District Attorney,01/22/2018,,04/03/2025,https://www.aclunc.org/20180122-alameda-county-new-laws-2018-pt-2pdf,https://drive.google.com/open?id=1Vq1lltimmn8n0fUGYOs1GSGOZp4pKgve,True
2018.01.22_Alameda County_New Laws Part 2.mp4,Alameda County,Office of the Alameda District Attorney,01/22/2018,,04/03/2025,https://www.aclunc.org/20180122-alameda-county-new-laws-part-2mp4,https://drive.google.com/open?id=1ztCZ00K-mkn8ad_JrSlFEH-Gpl-B9U0X,True
2018.02.12_Alameda County_Prop 57 Retroactivity.mp4,Alameda County,Office of the Alameda District Attorney,02/12/2018,,04/03/2025,https://www.aclunc.org/20180212-alameda-county-prop-57-retroactivitymp4,https://drive.google.com/open?id=1wMHrt-6cwEMF88XHWgSHmXHVq-dnD_Tj,True
2018.02.13_Alameda County_Prop 57 Retroactivity.pdf,Alameda County,Office of the Alameda District Attorney,02/13/2018,,04/03/2025,https://www.aclunc.org/20180213-alameda-county-prop-57-retroactivitypdf,https://drive.google.com/open?id=16sm1mvBrA12jLKs1T7-xD7ETxB09jBYY,True
2018.02.19_Alameda County_Humphrey and Bail.mp4,Alameda County,Office of the Alameda District Attorney,02/19/2018,,04/03/2025,https://www.aclunc.org/20180219-alameda-county-humphrey-and-bailmp4,https://drive.google.com/open?id=15auNq-kIaufktkszMxr-WhlSj5uEtQo8,True
2018.02.20_Alameda County_Humphrey Bail.pdf,Alameda County,Office of the Alameda District Attorney,02/20/2018,,04/03/2025,https://www.aclunc.org/20180220-alameda-county-humphrey-bailpdf,https://drive.google.com/open?id=1NvzZSrWNMBgK3Q11VOcG2N8-Dy0_0qul,True
